|     ORDENAÇÃO     |ARQUIVO ORDENADO			|ARQUIVO  REVERSO			|ARQUIVO RANDÔMICO
|		         |Comp. 1	|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|Comp. 1	|Comp. 2|Mov. 1	|Mov. 2|Tempo	|Comp. 1	|Comp. 2|Mov. 1	|Mov. 2|Tempo	|
|Insertion Sort	     | 79	| 12	| 79	| 36	| 1540	| 90	| 45	| 90	| 102	| 1309	| 60	| 45	| 60	| 69	| 902	|

|Binary Insertion    | 263	| 0	| 64	| 36	| 2185	| 80	| 78	| 156	| 102	| 2611	| 72	| 33	| 102	| 138	| 1823	|

|Select Sort	     | 435	| 78	| 58	| 36	| 3640	| 78	| 78	| 24	| 78	| 1113	| 78	| 78	| 24	| 41	| 969	|

|Bubble Sort	     | 435	| 0	| 0	| 36	| 7300	| 78	| 78	| 156	| 4	| 3137	| 78	| 78	| 96	| 41	| 3807	|

|Shake Sort	     | 450	| 78	| 0	| 0	| 8647	| 84	| 78	| 156	| 117	| 5058	| 84	| 78	| 96	| 234	| 2495	|

|Shell Sort	     | 83	| 78	| 0	| 36	| 1411	| 46	| 78	| 40	| 4	| 1055	| 52	| 78	| 48	| 41	| 1350	|

|Heap Sort	     | 450	| 78	| 226	| 36	| 9707	| 84	| 78	| 60	| 4	| 2050	| 84	| 78	| 70	| 41	| 2175	|

|Quick Sort 1	     | 435	| 78	| 0	| 36	| 4408	| 78	| 78	| 12	| 4	| 952	| 40	| 78	| 26	| 41	| 854	|

|Quick Sort 2	     | 184	| 78	| 76	| 36	| 2062	| 44	| 78	| 24	| 4	| 524	| 69	| 78	| 46	| 41	| 913	|

|CountingSort	     | 0	| -1	| 30	| -1	| 757	| 0	| -1	| 13	| -1	| 404	| 0	| -1	| 13	| -1	| 322	|

|Gnome Sort	     | 27	| -1	| 30	| -1	| 518	| 3	| -1	| 13	| -1	| 205	| 5	| -1	| 13	| -1	| 212	|

|Radix	     | 0	| -1	| 60	| -1	| 1406	| 0	| -1	| 26	| -1	| 615	| 0	| -1	| 26	| -1	| 621	|

|Comb	     | 189	| -1	| 0	| -1	| 2897	| 50	| -1	| 20	| -1	| 931	| 50	| -1	| 28	| -1	| 1062	|

|Gnome Sort	     | 29	| -1	| 0	| -1	| 473	| 90	| -1	| 156	| -1	| 2462	| 68	| -1	| 96	| -1	| 1723	|

|Tim Sort	     | 0	| -1	| 0	| -1	| 0	| 0	| -1	| 0	| -1	| 0	| 0	| -1	| 0	| -1	| 0	|

